SAMPLE_DATA_TYPE,pAC50,smiles
glo 40 hr,6.728660554,NC(=O)OC[C@@H]3C=1C(=O)C(N)=C(C)C(=O)C=1N2C[C@@H]4N[C@@H]4[C@@]23OC
flor 40 hr,7.378660554,[Br-].CC[N+](C)(CC)CCOC(=O)c1ccc(cc1)NC(=O)c2ccccc2OCCCCCCCC
flor 40 hr,6.878660554,OCCNCCCCCCCCCCCCCC.O=C(O)C(C)O
glo 40 hr,7.028660554,OCCNCCCCCCCCCCCCCC.O=C(O)C(C)O
flor 40 hr,6.878660554,Oc1ccc(C)c2cccnc12
flor 40 hr,6.778660554,OCCNC(=O)/C=C/c1ccccc1
flor 40 hr,5.578660554,[Na+].CC(C)c1nc(c(/C=C/[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1COC)c2ccc(F)cc2)C(C)C
glo 40 hr,6.078660554,[Na+].CC(C)c1nc(c(/C=C/[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1COC)c2ccc(F)cc2)C(C)C
flor 40 hr,6.978660554,O=C(O)C(O)CC(=O)O.CCN(CC)CCNC(=O)C1C(C)=C(N=C1C)/C=C2/c3cc(F)ccc3NC2=O
glo 40 hr,7.178660554,O=C(O)C(O)CC(=O)O.CCN(CC)CCNC(=O)C1C(C)=C(N=C1C)/C=C2/c3cc(F)ccc3NC2=O
flor 40 hr,6.778660554,O.O=C(O)C(C)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
glo 40 hr,6.928660554,O.O=C(O)C(C)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
flor 40 hr,6.628660554,COc2ccc3nc(NC(=O)Nc1ccccc1)sc3c2
flor 40 hr,7.378660554,Fc1ccc(cc1Cl)Nc2ncnc3cc(OC)c(cc23)OCCCN4CCOCC4
glo 40 hr,7.428660554,Fc1ccc(cc1Cl)Nc2ncnc3cc(OC)c(cc23)OCCCN4CCOCC4
flor 40 hr,7.428660554,Cl.O=C(OCC)[C@H](CCc1ccccc1)N[C@H]3CCc2ccccc2N(CC(=O)O)C3=O
flor 40 hr,7.378660554,O=C(Nc1ccc(cc1)[N+]([O-])=O)Nc2ccc(cc2)[N+]([O-])=O
