experiment_id,timestamp,lr,dropout_ratio,batch_size,num_experts,num_layer,emb_dim,decay,features,Test_Metric_Mean,Test_Metric_Std,Test_auprc_mean,Test_auprc_std,Test_accuracy_mean,Test_accuracy_std,Test_f1_mean,Test_f1_std,Test_sensitivity_mean,Test_sensitivity_std,Test_specificity_mean,Test_specificity_std
ablation_Basic_60,2025-11-24 11:05:43,0.001,0.5,32,3,5,300,0.0,basic,85.6149,0.6385,0.9025,0.0036,0.7867,0.0090,0.8265,0.0114,0.8223,0.0215,0.7290,0.0208
ablation_Basic_81,2025-11-24 11:16:30,0.001,0.5,128,5,5,300,0.0,basic,84.9287,0.6759,0.8983,0.0044,0.7830,0.0123,0.8212,0.0152,0.8076,0.0315,0.7429,0.0308
ablation_Basic_82,2025-11-24 11:17:16,0.001,0.5,128,5,5,300,1e-05,basic,84.9990,0.9582,0.8973,0.0051,0.7853,0.0093,0.8243,0.0113,0.8154,0.0300,0.7374,0.0394
ablation_Basic_62,2025-11-24 11:19:45,0.001,0.5,32,3,5,300,0.0001,basic,85.6170,0.7243,0.9013,0.0057,0.7938,0.0084,0.8318,0.0101,0.8253,0.0272,0.7429,0.0310
ablation_Basic_83,2025-11-24 11:23:47,0.001,0.5,128,5,5,300,0.0001,basic,85.4139,0.7696,0.9023,0.0040,0.7922,0.0065,0.8310,0.0089,0.8270,0.0204,0.7359,0.0269
ablation_Basic_61,2025-11-24 11:27:00,0.001,0.5,32,3,5,300,1e-05,basic,84.8470,0.5901,0.8966,0.0018,0.7826,0.0072,0.8233,0.0117,0.8201,0.0280,0.7206,0.0319
ablation_Basic_75,2025-11-24 11:29:53,0.001,0.5,128,5,3,300,0.0,basic,85.1335,1.4011,0.8947,0.0115,0.7859,0.0134,0.8237,0.0137,0.8099,0.0324,0.7482,0.0206
ablation_Basic_76,2025-11-24 11:30:26,0.001,0.5,128,5,3,300,1e-05,basic,85.0434,1.1995,0.8955,0.0102,0.7876,0.0157,0.8246,0.0163,0.8080,0.0285,0.7539,0.0152
ablation_Basic_54,2025-11-24 11:31:15,0.001,0.5,32,3,3,300,0.0,basic,84.6740,1.0882,0.8898,0.0133,0.7856,0.0079,0.8285,0.0074,0.8374,0.0163,0.7007,0.0235
ablation_Basic_68,2025-11-24 11:31:45,0.001,0.5,32,3,7,300,0.0001,basic,84.4892,0.8160,0.8869,0.0096,0.7826,0.0186,0.8193,0.0240,0.8019,0.0534,0.7516,0.0500
ablation_Basic_77,2025-11-24 11:35:12,0.001,0.5,128,5,3,300,0.0001,basic,85.4558,1.3493,0.8995,0.0106,0.7875,0.0129,0.8278,0.0154,0.8282,0.0370,0.7212,0.0407
ablation_Basic_56,2025-11-24 11:37:13,0.001,0.5,32,3,3,300,0.0001,basic,84.5789,1.3940,0.8936,0.0115,0.7780,0.0179,0.8155,0.0175,0.7938,0.0238,0.7514,0.0305
ablation_Basic_87,2025-11-24 11:39:14,0.001,0.5,128,5,7,300,0.0,basic,84.5973,1.4545,0.8937,0.0097,0.7827,0.0132,0.8225,0.0153,0.8152,0.0268,0.7290,0.0170
ablation_Basic_78,2025-11-24 11:42:19,0.001,0.5,32,5,5,300,0.0,basic,85.1652,0.8740,0.9004,0.0046,0.7801,0.0099,0.8207,0.0146,0.8167,0.0483,0.7218,0.0575
ablation_Basic_88,2025-11-24 11:45:28,0.001,0.5,128,5,7,300,1e-05,basic,84.1521,1.0236,0.8885,0.0087,0.7797,0.0076,0.8200,0.0122,0.8131,0.0334,0.7249,0.0399
ablation_Basic_55,2025-11-24 11:47:42,0.001,0.5,32,3,3,300,1e-05,basic,84.9606,1.0818,0.8948,0.0093,0.7831,0.0086,0.8224,0.0112,0.8131,0.0276,0.7339,0.0426
ablation_Basic_89,2025-11-24 11:49:21,0.001,0.5,128,5,7,300,0.0001,basic,84.2904,1.4568,0.8916,0.0090,0.7794,0.0134,0.8180,0.0160,0.8033,0.0331,0.7398,0.0218
ablation_Basic_80,2025-11-24 11:50:24,0.001,0.5,32,5,5,300,0.0001,basic,85.1012,0.4863,0.9002,0.0040,0.7820,0.0097,0.8221,0.0135,0.8168,0.0427,0.7272,0.0485
ablation_Basic_66,2025-11-24 11:50:55,0.001,0.5,32,3,7,300,0.0,basic,84.4377,1.1939,0.8909,0.0103,0.7765,0.0190,0.8115,0.0217,0.7802,0.0387,0.7707,0.0129
ablation_Basic_79,2025-11-24 11:52:28,0.001,0.5,32,5,5,300,1e-05,basic,85.0283,0.3998,0.8992,0.0045,0.7800,0.0081,0.8199,0.0116,0.8118,0.0421,0.7305,0.0552
ablation_Basic_73,2025-11-24 11:58:44,0.001,0.5,32,5,3,300,1e-05,basic,85.0423,1.2588,0.8929,0.0142,0.7824,0.0162,0.8174,0.0213,0.7916,0.0499,0.7663,0.0438
ablation_Basic_95,2025-11-24 12:05:19,0.001,0.5,128,7,3,300,0.0001,basic,84.9947,1.2202,0.8912,0.0133,0.7861,0.0149,0.8239,0.0187,0.8122,0.0438,0.7421,0.0407
ablation_Basic_74,2025-11-24 12:05:30,0.001,0.5,32,5,3,300,0.0001,basic,84.5720,1.3111,0.8910,0.0141,0.7828,0.0134,0.8198,0.0150,0.7998,0.0280,0.7548,0.0276
ablation_Basic_99,2025-11-24 12:06:24,0.001,0.5,128,7,5,300,0.0,basic,85.2073,0.9712,0.8998,0.0069,0.7870,0.0095,0.8275,0.0130,0.8278,0.0342,0.7205,0.0445
ablation_Basic_67,2025-11-24 12:08:35,0.001,0.5,32,3,7,300,1e-05,basic,84.6163,1.2742,0.8934,0.0090,0.7849,0.0157,0.8207,0.0178,0.7983,0.0395,0.7633,0.0239
ablation_Basic_100,2025-11-24 12:09:20,0.001,0.5,128,7,5,300,1e-05,basic,85.2242,0.8138,0.9002,0.0043,0.7863,0.0068,0.8260,0.0095,0.8213,0.0280,0.7296,0.0373
ablation_Basic_101,2025-11-24 12:11:13,0.001,0.5,128,7,5,300,0.0001,basic,85.1716,0.9247,0.8986,0.0045,0.7876,0.0100,0.8279,0.0121,0.8273,0.0301,0.7236,0.0351
ablation_Basic_84,2025-11-24 12:11:39,0.001,0.5,32,5,7,300,0.0,basic,84.7358,1.0443,0.8938,0.0138,0.7874,0.0074,0.8244,0.0108,0.8078,0.0264,0.7529,0.0359
ablation_Basic_94,2025-11-24 12:12:01,0.001,0.5,128,7,3,300,1e-05,basic,84.7728,1.0727,0.8908,0.0108,0.7844,0.0147,0.8227,0.0159,0.8103,0.0263,0.7411,0.0167
ablation_Basic_85,2025-11-24 12:12:48,0.001,0.5,32,5,7,300,1e-05,basic,84.4841,1.1518,0.8923,0.0104,0.7823,0.0153,0.8235,0.0152,0.8221,0.0331,0.7173,0.0419
ablation_Basic_93,2025-11-24 12:13:50,0.001,0.5,128,7,3,300,0.0,basic,84.8586,1.2062,0.8934,0.0116,0.7811,0.0134,0.8194,0.0150,0.8046,0.0307,0.7426,0.0209
ablation_Basic_72,2025-11-24 12:14:06,0.001,0.5,32,5,3,300,0.0,basic,85.0310,1.2744,0.8921,0.0126,0.7794,0.0162,0.8122,0.0190,0.7737,0.0372,0.7877,0.0287
ablation_Basic_106,2025-11-24 12:21:33,0.001,0.5,128,7,7,300,1e-05,basic,84.9416,1.2384,0.8981,0.0073,0.7845,0.0118,0.8248,0.0137,0.8214,0.0300,0.7243,0.0214
ablation_Basic_105,2025-11-24 12:23:56,0.001,0.5,128,7,7,300,0.0,basic,84.8093,1.2900,0.8968,0.0072,0.7826,0.0106,0.8240,0.0120,0.8238,0.0253,0.7159,0.0134
ablation_Basic_86,2025-11-24 12:29:36,0.001,0.5,32,5,7,300,0.0001,basic,84.7431,0.8583,0.8943,0.0059,0.7870,0.0082,0.8245,0.0089,0.8092,0.0155,0.7506,0.0217
ablation_Basic_107,2025-11-24 12:31:52,0.001,0.5,128,7,7,300,0.0001,basic,84.5106,1.3527,0.8944,0.0059,0.7808,0.0127,0.8204,0.0136,0.8111,0.0361,0.7323,0.0414
ablation_Basic_117,2025-11-24 12:36:51,0.0005,0.3,128,3,5,300,0.0,basic,84.8876,1.1564,0.8971,0.0066,0.7839,0.0147,0.8237,0.0172,0.8183,0.0341,0.7271,0.0273
ablation_Basic_96,2025-11-24 12:38:22,0.001,0.5,32,7,5,300,0.0,basic,85.1906,1.0701,0.8985,0.0065,0.7838,0.0055,0.8240,0.0093,0.8194,0.0307,0.7266,0.0363
ablation_Basic_118,2025-11-24 12:39:03,0.0005,0.3,128,3,5,300,1e-05,basic,84.8385,1.1268,0.8965,0.0067,0.7857,0.0110,0.8253,0.0141,0.8196,0.0301,0.7296,0.0295
ablation_Basic_97,2025-11-24 12:43:52,0.001,0.5,32,7,5,300,1e-05,basic,85.4800,0.6428,0.9007,0.0038,0.7842,0.0080,0.8242,0.0104,0.8191,0.0365,0.7293,0.0533
ablation_Basic_111,2025-11-24 12:44:28,0.0005,0.3,128,3,3,300,0.0,basic,83.8306,0.6209,0.8794,0.0124,0.7767,0.0077,0.8180,0.0092,0.8117,0.0202,0.7188,0.0334
ablation_Basic_112,2025-11-24 12:44:42,0.0005,0.3,128,3,3,300,1e-05,basic,83.8698,0.7183,0.8803,0.0133,0.7746,0.0087,0.8159,0.0088,0.8075,0.0183,0.7202,0.0371
ablation_Basic_113,2025-11-24 12:46:44,0.0005,0.3,128,3,3,300,0.0001,basic,84.1170,1.0589,0.8810,0.0140,0.7790,0.0062,0.8200,0.0077,0.8139,0.0154,0.7215,0.0328
